0.Gender,1.Age,2.Exercise_importance,3.Fitness_level,4.Regularity,7.Do_you,8.Time,9.Time_spent,10.Balanced_diet,12.Health_level,13.Recommend_fitness,14.Equipment,5.Barriers,6.Exercises,11.prevents_balanced,15.Motivation
Female,19 to 25,2,Good,Never,I don't really exercise,Early morning,I don't really exercise,Not always,3,Yes,No,I don't have enough time,I don't really exercise,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,2,Good,Never,I don't really exercise,Early morning,I don't really exercise,Not always,3,Yes,No,I don't have enough time,I don't really exercise,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,2,Good,Never,I don't really exercise,Early morning,I don't really exercise,Not always,3,Yes,No,I can't stay motivated,I don't really exercise,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,2,Good,Never,I don't really exercise,Early morning,I don't really exercise,Not always,3,Yes,No,I can't stay motivated,I don't really exercise,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Ease of access to fast food,I want to be fit
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Ease of access to fast food,I want to be flexible
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Ease of access to fast food,I want to relieve stress
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to be fit
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to be flexible
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to relieve stress
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Ease of access to fast food,I want to be fit
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Ease of access to fast food,I want to be flexible
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Ease of access to fast food,I want to relieve stress
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Temptation and cravings,I want to be fit
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Temptation and cravings,I want to be flexible
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Temptation and cravings,I want to relieve stress
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Ease of access to fast food,I want to be fit
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Ease of access to fast food,I want to be flexible
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Ease of access to fast food,I want to relieve stress
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Temptation and cravings,I want to be fit
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Temptation and cravings,I want to be flexible
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Temptation and cravings,I want to relieve stress
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Ease of access to fast food,I want to be fit
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Ease of access to fast food,I want to be flexible
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Ease of access to fast food,I want to relieve stress
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Temptation and cravings,I want to be fit
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Temptation and cravings,I want to be flexible
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Temptation and cravings,I want to relieve stress
Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
Female,15 to 18,3,Good,1 to 2 times a week,Alone,Early morning,30 minutes,Not always,4,Yes,Yes,I can't stay motivated,Walking or jogging,Temptation and cravings,I want to be fit
Female,15 to 18,4,Good,3 to 4 times a week,Alone,Evening,1 hour,Yes,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to be fit
Female,15 to 18,4,Good,3 to 4 times a week,Alone,Evening,1 hour,Yes,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to lose weight
Female,15 to 18,4,Good,3 to 4 times a week,Alone,Evening,1 hour,Yes,4,Yes,No,I don't have enough time,Gym,Temptation and cravings,I want to be fit
Female,15 to 18,4,Good,3 to 4 times a week,Alone,Evening,1 hour,Yes,4,Yes,No,I don't have enough time,Gym,Temptation and cravings,I want to lose weight
Female,15 to 18,4,Good,3 to 4 times a week,Alone,Evening,1 hour,Yes,4,Yes,No,I don't have enough time,Lifting weights,Temptation and cravings,I want to be fit
Female,15 to 18,4,Good,3 to 4 times a week,Alone,Evening,1 hour,Yes,4,Yes,No,I don't have enough time,Lifting weights,Temptation and cravings,I want to lose weight
Female,19 to 25,3,Unfit,Never,I don't really exercise,Evening,I don't really exercise,Yes,4,Yes,No,I can't stay motivated,I don't really exercise,Ease of access to fast food,I want to be fit
Female,19 to 25,3,Unfit,Never,I don't really exercise,Evening,I don't really exercise,Yes,4,Yes,No,I can't stay motivated,I don't really exercise,Temptation and cravings,I want to be fit
Female,40 and above,5,Average,3 to 4 times a week,With a group,Evening,1 hour,Not always,3,Yes,No,I exercise regularly with no barriers,Walking or jogging,Temptation and cravings,I want to be flexible
Female,40 and above,5,Average,3 to 4 times a week,With a group,Evening,1 hour,Not always,3,Yes,No,I exercise regularly with no barriers,Yoga,Temptation and cravings,I want to be flexible
Male,40 and above,3,Good,1 to 2 times a week,Alone,Early morning,30 minutes,No,3,No,No,I don't really enjoy exercising,Walking or jogging,Temptation and cravings,I want to be flexible
Female,15 to 18,3,Unfit,Never,Alone,Early morning,I don't really exercise,Not always,2,Yes,Yes,I can't stay motivated,Walking or jogging,Temptation and cravings,I want to be fit
Female,15 to 18,3,Unfit,Never,Alone,Early morning,I don't really exercise,Not always,2,Yes,Yes,I can't stay motivated,Walking or jogging,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
Female,15 to 18,3,Unfit,Never,Alone,Early morning,I don't really exercise,Not always,2,Yes,Yes,I don't really enjoy exercising,Walking or jogging,Temptation and cravings,I want to be fit
Female,15 to 18,3,Unfit,Never,Alone,Early morning,I don't really exercise,Not always,2,Yes,Yes,I don't really enjoy exercising,Walking or jogging,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't have enough time,Gym,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't have enough time,Gym,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't have enough time,Gym,Temptation and cravings,I want to lose weight
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't have enough time,Team sport,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't have enough time,Team sport,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't have enough time,Team sport,Temptation and cravings,I want to lose weight
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I can't stay motivated,Gym,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I can't stay motivated,Gym,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I can't stay motivated,Gym,Temptation and cravings,I want to lose weight
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I can't stay motivated,Team sport,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I can't stay motivated,Team sport,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I can't stay motivated,Team sport,Temptation and cravings,I want to lose weight
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I'll become too tired,Gym,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I'll become too tired,Gym,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I'll become too tired,Gym,Temptation and cravings,I want to lose weight
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I'll become too tired,Team sport,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I'll become too tired,Team sport,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I'll become too tired,Team sport,Temptation and cravings,I want to lose weight
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't really enjoy exercising,Gym,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't really enjoy exercising,Gym,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't really enjoy exercising,Gym,Temptation and cravings,I want to lose weight
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't really enjoy exercising,Team sport,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't really enjoy exercising,Team sport,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,With a friend,Evening,1 hour,No,2,Yes,No,I don't really enjoy exercising,Team sport,Temptation and cravings,I want to lose weight
Male,15 to 18,5,Very good,Everyday,With a friend,Early morning,1 hour,Not always,3,Yes,Yes,I don't have enough time,Gym,Ease of access to fast food,I want to be fit
Male,15 to 18,5,Very good,Everyday,With a friend,Early morning,1 hour,Not always,3,Yes,Yes,I don't have enough time,Gym,Ease of access to fast food,I want to lose weight
Male,15 to 18,5,Very good,Everyday,With a friend,Early morning,1 hour,Not always,3,Yes,Yes,I don't have enough time,Gym,Ease of access to fast food,I want to relieve stress
Male,15 to 18,5,Very good,Everyday,With a friend,Early morning,1 hour,Not always,3,Yes,Yes,I exercise regularly with no barriers,Gym,Ease of access to fast food,I want to be fit
Male,15 to 18,5,Very good,Everyday,With a friend,Early morning,1 hour,Not always,3,Yes,Yes,I exercise regularly with no barriers,Gym,Ease of access to fast food,I want to lose weight
Male,15 to 18,5,Very good,Everyday,With a friend,Early morning,1 hour,Not always,3,Yes,Yes,I exercise regularly with no barriers,Gym,Ease of access to fast food,I want to relieve stress
Male,15 to 18,4,Very good,3 to 4 times a week,With a group,Early morning,1 hour,Yes,4,Yes,Yes,I don't have enough time,Walking or jogging,Lack of time,I want to be fit
Male,15 to 18,4,Very good,3 to 4 times a week,With a group,Early morning,1 hour,Yes,4,Yes,Yes,I don't have enough time,Team sport,Lack of time,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,Alone,Early morning,2 hours,No,4,Yes,Yes,I don't have enough time,Walking or jogging,Temptation and cravings,I want to be fit
Male,19 to 25,5,Unfit,3 to 4 times a week,Alone,Early morning,2 hours,No,4,Yes,Yes,I don't have enough time,Walking or jogging,Temptation and cravings,I want to increase muscle mass and strength
Male,19 to 25,5,Unfit,3 to 4 times a week,Alone,Early morning,2 hours,No,4,Yes,Yes,I don't have enough time,Walking or jogging,Temptation and cravings,I want to lose weight
Male,15 to 18,4,Unfit,Never,I don't really exercise,Evening,I don't really exercise,No,1,No,No,I can't stay motivated,I don't really exercise,Temptation and cravings,I want to be fit
Male,15 to 18,4,Unfit,Never,I don't really exercise,Evening,I don't really exercise,No,1,No,No,I can't stay motivated,I don't really exercise,Temptation and cravings,I want to increase muscle mass and strength
