id,gender,age,exercise_importance,fitness_level,regularity,do_you,time,time_spent,balanced_diet,health_level,recommend_fitness,equipment,barriers,exercises,prevents_balanced,motivation
0,Female,19 to 25,2,Good,Never,I don't really exercise,Early morning,I don't really exercise,Not always,3,Yes,No,I don't have enough time,I don't really exercise,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
1,Female,19 to 25,2,Good,Never,I don't really exercise,Early morning,I don't really exercise,Not always,3,Yes,No,I don't have enough time,I don't really exercise,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
2,Female,19 to 25,2,Good,Never,I don't really exercise,Early morning,I don't really exercise,Not always,3,Yes,No,I can't stay motivated,I don't really exercise,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
3,Female,19 to 25,2,Good,Never,I don't really exercise,Early morning,I don't really exercise,Not always,3,Yes,No,I can't stay motivated,I don't really exercise,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
4,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Ease of access to fast food,I want to be fit
5,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Ease of access to fast food,I want to be flexible
6,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Ease of access to fast food,I want to relieve stress
7,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
8,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to be fit
9,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to be flexible
10,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to relieve stress
11,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
12,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Ease of access to fast food,I want to be fit
13,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Ease of access to fast food,I want to be flexible
14,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Ease of access to fast food,I want to relieve stress
15,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
16,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Temptation and cravings,I want to be fit
17,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Temptation and cravings,I want to be flexible
18,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Temptation and cravings,I want to relieve stress
19,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I don't have enough time,Swimming,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
20,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Ease of access to fast food,I want to be fit
21,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Ease of access to fast food,I want to be flexible
22,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Ease of access to fast food,I want to relieve stress
23,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
24,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Temptation and cravings,I want to be fit
25,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Temptation and cravings,I want to be flexible
26,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Temptation and cravings,I want to relieve stress
27,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Walking or jogging,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
28,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Ease of access to fast food,I want to be fit
29,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Ease of access to fast food,I want to be flexible
30,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Ease of access to fast food,I want to relieve stress
31,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Ease of access to fast food,I'm sorry ... I'm not really interested in exercising
32,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Temptation and cravings,I want to be fit
33,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Temptation and cravings,I want to be flexible
34,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Temptation and cravings,I want to relieve stress
35,Female,19 to 25,4,Very good,Never,With a group,Early morning,I don't really exercise,Not always,4,Yes,No,I'll become too tired,Swimming,Temptation and cravings,I'm sorry ... I'm not really interested in exercising
36,Female,15 to 18,3,Good,1 to 2 times a week,Alone,Early morning,30 minutes,Not always,4,Yes,Yes,I can't stay motivated,Walking or jogging,Temptation and cravings,I want to be fit
37,Female,15 to 18,4,Good,3 to 4 times a week,Alone,Evening,1 hour,Yes,4,Yes,No,I don't have enough time,Walking or jogging,Temptation and cravings,I want to be fit
